,Unnamed: 0.1,StarName,Unnamed: 6,Distance,Mass,Radius,Gravity
0,0,Sun,0,46.1,48.0,0.99,13432.220946902917
1,1,Sirius,1,192.0,19.0,1.63,1961.3512242583106
2,3,Alpha Centauri,3,37.7,79.0,1.09,18236.90241167102
3,5,Vega,5,236.0,31.0,1.44,4100.281638332751
4,7,Rigel,7,87.2,54.0,0.98,15421.214825923567
5,8,Procyon,8,131.0,29.0,1.43,3889.5817312962217
6,9,Betelgeuse,9,31.0,42.0,0.94,13036.786760187986
7,10,Achernar,10,28.6,42.0,0.94,13036.786760187986
8,11,Hadar,11,57.0,23.0,1.62,2403.6696820493066
9,12,Altair,12,40.0,12.0,1.3,1947.4733358076255
10,13,Acrux,13,34.0,40.0,0.94,12415.987390655226
11,15,Antares,15,96.0,29.0,1.43,3889.5817312962217
12,17,Pollux,17,70.0,52.0,0.98,14850.058721259731
13,18,Fomalhaut,18,51.0,52.0,0.98,14850.058721259731
14,19,Deneb,19,163.0,20.0,1.62,2090.147549608093
15,20,Mimosa,20,130.0,20.0,1.61,2116.192750739354
16,21,Regulus,21,70.0,47.0,0.97,13700.340725475582
17,25,Gacrux,25,111.0,47.0,0.97,13700.340725475582
18,26,Bellatrix,26,101.0,15.0,1.53,1757.459704341753
19,27,Elnath,27,155.0,20.0,1.62,2090.147549608093
20,28,Miaplacidus,28,152.0,27.0,1.41,3724.7962171965683
21,29,Alnilam,29,35.0,33.0,0.99,9234.651900995756
22,30,Gamma Velorum,30,53.0,78.0,1.08,18341.044747811015
23,32,Alioth,32,12.578,80.0,1.27,13603.7776159501
24,33,Alnitak,33,184.0,65.0,1.9,4938.364403011719
25,34,Dubhe,34,24.0,65.0,1.9,4938.364403011719
26,35,Mirfak,35,16.2,80.0,0.97,23319.728894426524
27,36,Wezen,36,45.0,49.0,0.97,14283.333947836245
28,37,Sargas,37,47.0,88.0,1.15,18250.04628237619
29,38,Kaus Australis,38,192.0,23.0,1.66,2289.2258359595735
30,39,Avior,39,59.0,45.0,0.95,13675.470654493993
31,40,Alkaid,40,80.0,18.0,1.3,2921.2100037114383
32,41,Menkalinan,41,98.0,54.0,0.98,15421.214825923567
33,42,Atria,42,27.0,73.0,1.04,18511.13978046311
34,43,Alhena,43,20.9,73.0,1.43,9791.016082228422
35,44,Peacock,44,88.0,74.0,1.05,18408.9958712095
36,45,Alsephina[2],45,380.0,55.0,3.78,1055.7377929142917
37,46,Mirzam,46,48.0,102.0,1.27,17344.816460336377
38,47,Polaris,47,29.8,20.0,1.32,3148.1767844303713
39,49,Scheat,49,18.6,30.0,0.95,9116.980436329328
40,51,Rasalgethi,51,85.0,80.0,1.09,18467.749277641542
41,52,Tau Ceti,52,34.0,100.0,1.26,17275.709338597502
42,53,Delta Pavonis,53,142.0,39.0,1.97,2756.1898778436403
43,54,Ran,54,29.5,48.0,0.97,13991.837336655914
44,56,Eta Carinae,56,82.0,22.0,1.78,1904.4064992143121
45,57,Delta Cephei,57,42.0,64.0,1.0,17553.22633341273
46,58,Mu Cephei,58,69.0,1.04,72.0,0.055023134243433046
47,59,Titawin,59,44.0,64.0,1.0,17553.22633341273
48,60,Rho Cassiopeiae,60,64.0,21.0,1.38,3024.392139598327
49,61,P Cygni,61,73.0,47.0,0.97,13700.340725475582
50,62,La Superba,62,40.0,68.0,1.01,18282.81833080191
51,64,61 Cygni,64,41.62,61.0,1.01,16400.763502631125
52,66,Polaris Australis,66,34.6,28.0,1.41,3862.751632648293
53,67,R Coronae Borealis,67,102.0,38.0,1.51,4570.952210632784
54,70,RW Cephei,70,39.0,56.0,0.99,15670.924438053404
55,71,Lacaille 8760,71,65.0,67.0,1.01,18013.95335534894
56,72,V838 Monocerotis,72,51.0,75.0,1.05,18657.766085685304
57,74,II Pegasi,74,60.0,72.0,1.03,18613.799250720447
58,75,VY Canis Majoris,75,13.4,26.0,0.98,7425.029360629866
59,76,Pistol Star,76,29.6,41.0,0.94,12726.387075421604
60,77,S Doradus,77,25.8,37.0,0.94,11484.788336356085
61,78,UY Scuti,78,49.0,43.0,0.94,13347.186444954366
62,80,Luhman 16,80,55.0,71.0,1.03,18355.27426112711
63,81,Proxima Centauri,81,60.0,2.01,68.0,0.11922167269328364
64,82,KIC 8462852,82,16.1,44.0,0.94,13657.586129720748
65,85,WR 102,85,35.0,52.0,0.98,14850.058721259731
66,86,VFTS 352,86,43.0,48.0,0.99,13432.220946902917
67,87,YBP 1194,87,55.0,88.0,1.15,18250.04628237619
68,88,Gliese 1214,88,77.0,46.0,0.96,13689.649986046441
69,89,NML Cygni,89,23.53,62.0,1.0,17004.688010493584
70,90,VB 10,90,43.0,64.0,1.0,17553.22633341273
71,91,WOH G64,91,27.6,77.0,1.07,18445.912684415405
72,92,TRAPPIST-1,92,50.0,50.0,0.98,14278.902616595895
73,94,WISE 0855âˆ’0714,94,20.0,42.0,0.94,13036.786760187986
74,95,Icarus,95,17.4,32.0,0.95,2.366404432132964e-09
